species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
?,Dream,40.8,?,208.0,?,?
Adelie,Dream,38.1,?,?,3700.0,Female
?,Dream,40.3,18.5,196.0,?,?
?,Dream,?,?,178.0,2900.0,?
?,Dream,?,18.5,192.0,4100.0,Male
?,Biscoe,35.0,?,?,?,Female
Adelie,?,41.0,20.0,203.0,4725.0,Male
?,Biscoe,37.7,?,183.0,?,Female
Adelie,?,37.8,?,190.0,?,Male
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female
?,Biscoe,?,18.9,184.0,3550.0,Male
Adelie,Biscoe,38.6,17.2,199.0,3750.0,?
Adelie,Biscoe,38.2,?,?,?,Male
Adelie,?,38.1,17.0,181.0,3175.0,Female
Adelie,Biscoe,43.2,?,197.0,4775.0,Male
?,Biscoe,38.1,?,198.0,?,?
?,Biscoe,45.6,?,191.0,?,?
?,?,39.7,?,?,3200.0,Female
Adelie,Biscoe,42.2,19.5,?,4275.0,Male
?,Biscoe,39.6,20.7,191.0,3900.0,Female
Adelie,Biscoe,?,18.3,196.0,4075.0,?
Adelie,?,38.6,17.0,188.0,?,?
?,Torgersen,?,?,199.0,?,Male
Adelie,Torgersen,35.7,?,?,3350.0,Female
?,Torgersen,?,18.6,189.0,3325.0,Male
Adelie,Torgersen,36.2,?,187.0,?,Female
?,Torgersen,?,19.8,198.0,3500.0,Male
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female
Adelie,?,41.4,18.5,202.0,3875.0,Male
Adelie,Torgersen,35.2,15.9,186.0,?,Female
Adelie,?,?,?,199.0,4000.0,Male
Adelie,Torgersen,?,17.6,191.0,?,Female
?,?,41.5,18.3,?,4300.0,?
?,?,39.0,17.1,191.0,3050.0,Female
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
?,?,38.5,17.9,?,3325.0,Female
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male
?,Dream,?,18.5,193.0,?,Female
Adelie,Dream,37.5,?,199.0,?,?
?,Dream,?,17.6,187.0,3425.0,Female
Adelie,?,41.1,17.5,190.0,3900.0,?
Adelie,?,?,17.5,191.0,?,?
?,Dream,40.2,?,200.0,3975.0,Male
Adelie,Dream,?,16.5,185.0,3400.0,?
Adelie,Dream,?,17.9,?,4250.0,Male
Adelie,?,40.2,17.1,193.0,3400.0,Female
Adelie,Dream,40.6,?,187.0,?,Male
?,Dream,?,?,188.0,3050.0,?
?,?,?,17.0,?,3725.0,Male
?,Dream,37.3,16.8,192.0,3000.0,?
Adelie,Dream,39.0,18.7,185.0,3650.0,?
Adelie,Dream,39.2,?,?,4250.0,Male
Adelie,Dream,36.6,?,184.0,3475.0,Female
?,Dream,?,17.8,195.0,?,?
Adelie,?,37.8,18.1,?,3750.0,Male
Adelie,Dream,36.0,17.1,?,3700.0,?
Adelie,Dream,?,18.5,201.0,?,Male
?,?,46.5,17.9,192.0,3500.0,Female
?,?,50.0,19.5,196.0,?,Male
Chinstrap,Dream,51.3,19.2,?,3650.0,Male
Chinstrap,?,45.4,18.7,?,3525.0,Female
?,Dream,52.7,19.8,?,?,?
Chinstrap,Dream,?,17.8,198.0,?,Female
Chinstrap,Dream,46.1,18.2,178.0,3250.0,?
?,?,?,18.2,197.0,3750.0,Male
Chinstrap,Dream,?,?,195.0,4150.0,Female
Chinstrap,?,51.3,?,198.0,?,Male
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female
?,?,?,20.3,194.0,3775.0,Male
?,Dream,47.0,17.3,?,?,Female
?,Dream,52.0,18.1,201.0,4050.0,Male
Chinstrap,?,45.9,17.1,190.0,3575.0,Female
Chinstrap,?,50.5,19.6,201.0,4050.0,Male
Chinstrap,Dream,50.3,?,197.0,3300.0,Male
Chinstrap,?,58.0,?,181.0,3700.0,?
Chinstrap,?,46.4,?,190.0,3450.0,Female
Chinstrap,Dream,?,18.2,195.0,4400.0,?
?,?,42.4,?,?,3600.0,Female
Chinstrap,?,48.5,17.5,191.0,3400.0,Male
Chinstrap,?,43.2,16.6,187.0,?,Female
Chinstrap,?,50.6,?,193.0,3800.0,?
Chinstrap,Dream,?,?,?,3300.0,Female
Chinstrap,?,?,19.0,197.0,4150.0,Male
Chinstrap,?,?,18.4,200.0,3400.0,?
?,?,49.5,19.0,200.0,?,Male
Chinstrap,?,46.4,?,191.0,3700.0,Female
?,Dream,52.8,20.0,205.0,4550.0,?
Chinstrap,Dream,40.9,16.6,?,3200.0,?
?,Dream,54.2,20.8,201.0,4300.0,?
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female
Chinstrap,Dream,51.0,18.8,203.0,4100.0,?
?,Dream,?,18.6,195.0,?,?
?,?,47.5,?,199.0,3900.0,?
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female
?,?,52.0,20.7,?,?,Male
Chinstrap,?,46.9,?,192.0,2700.0,Female
?,Dream,?,?,205.0,4500.0,?
Chinstrap,Dream,?,19.5,?,3950.0,Male
Chinstrap,Dream,46.2,17.5,?,?,?
Chinstrap,Dream,?,19.1,196.0,3550.0,?
Chinstrap,?,45.5,17.0,196.0,?,Female
Chinstrap,Dream,50.9,17.9,196.0,3675.0,?
?,Dream,?,18.5,201.0,?,?
Chinstrap,Dream,50.1,?,190.0,3400.0,Female
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male
Chinstrap,?,51.5,?,187.0,?,Male
Chinstrap,?,49.8,?,198.0,?,Female
Chinstrap,?,?,16.4,199.0,3325.0,Female
Chinstrap,?,51.4,19.0,201.0,3950.0,Male
Chinstrap,Dream,45.7,17.3,193.0,?,Female
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male
Chinstrap,Dream,42.5,17.3,?,3350.0,?
Chinstrap,Dream,52.2,18.8,?,3450.0,Male
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female
?,Dream,?,19.9,203.0,4050.0,Male
Chinstrap,Dream,50.2,18.8,202.0,?,Male
Chinstrap,Dream,45.6,19.4,?,3525.0,Female
Chinstrap,Dream,?,19.5,206.0,3950.0,Male
Chinstrap,Dream,?,16.5,189.0,3650.0,Female
?,Dream,?,?,?,3650.0,Female
Chinstrap,Dream,55.8,?,207.0,4000.0,Male
Chinstrap,Dream,43.5,?,?,?,Female
?,Dream,49.6,?,?,?,Male
Chinstrap,?,50.8,19.0,210.0,4100.0,Male
Chinstrap,Dream,?,18.7,?,?,Female
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female
Gentoo,Biscoe,?,16.3,?,?,Male
Gentoo,?,48.7,?,210.0,?,?
?,Biscoe,50.0,15.2,218.0,?,?
?,Biscoe,47.6,?,215.0,5400.0,?
?,Biscoe,46.5,13.5,?,?,Female
Gentoo,Biscoe,45.4,?,?,4800.0,Female
Gentoo,Biscoe,46.7,15.3,?,5200.0,Male
?,?,?,?,209.0,?,Female
Gentoo,Biscoe,46.8,15.4,?,5150.0,Male
?,?,?,13.7,?,?,Female
Gentoo,Biscoe,?,16.1,216.0,5550.0,Male
Gentoo,Biscoe,?,13.7,?,4650.0,Female
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male
Gentoo,Biscoe,?,14.6,210.0,4200.0,Female
?,?,?,15.7,217.0,5850.0,Male
?,Biscoe,42.0,13.5,?,4150.0,Female
Gentoo,Biscoe,?,15.2,221.0,6300.0,Male
?,?,46.2,?,209.0,?,Female
?,Biscoe,?,15.1,222.0,5350.0,Male
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male
Gentoo,Biscoe,?,?,215.0,5000.0,Female
Gentoo,Biscoe,46.5,?,?,4400.0,?
?,Biscoe,46.3,15.8,215.0,5050.0,Male
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male
Gentoo,Biscoe,?,?,216.0,4100.0,?
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male
Gentoo,Biscoe,48.2,?,210.0,4600.0,?
Gentoo,Biscoe,?,?,220.0,5550.0,Male
Gentoo,Biscoe,?,15.3,222.0,5250.0,?
Gentoo,Biscoe,?,14.2,?,4700.0,?
Gentoo,Biscoe,?,?,?,?,Female
Gentoo,Biscoe,?,17.0,230.0,?,Male
Gentoo,Biscoe,49.1,14.8,?,?,Female
Gentoo,Biscoe,48.4,16.3,?,?,Male
Gentoo,Biscoe,42.6,13.7,?,?,Female
?,Biscoe,44.4,?,219.0,5250.0,Male
?,Biscoe,44.0,?,?,4350.0,?
Gentoo,Biscoe,?,15.7,208.0,?,Male
Gentoo,?,42.7,13.7,208.0,3950.0,?
Gentoo,Biscoe,49.6,16.0,?,5700.0,Male
?,Biscoe,45.3,?,210.0,4300.0,Female
?,?,?,15.0,?,4750.0,?
Gentoo,?,?,15.9,222.0,5550.0,Male
Gentoo,Biscoe,43.6,13.9,217.0,?,Female
Gentoo,Biscoe,45.5,?,210.0,4200.0,Female
?,Biscoe,50.5,15.9,?,5400.0,Male
Gentoo,Biscoe,44.9,13.3,?,5100.0,Female
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,?
Gentoo,Biscoe,?,14.2,210.0,4850.0,Female
Gentoo,Biscoe,48.5,?,?,5300.0,Male
?,Biscoe,45.1,14.4,210.0,4400.0,?
Gentoo,?,?,15.0,225.0,5000.0,Male
Gentoo,Biscoe,46.5,?,?,4900.0,Female
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male
?,Biscoe,43.8,?,?,?,Female
Gentoo,Biscoe,?,15.0,220.0,5000.0,Male
?,Biscoe,43.2,14.5,208.0,4450.0,?
?,Biscoe,50.4,15.3,?,5550.0,Male
Gentoo,?,45.3,13.8,208.0,4200.0,Female
Gentoo,Biscoe,46.2,14.9,?,5300.0,Male
?,?,45.7,13.9,214.0,?,Female
Gentoo,Biscoe,54.3,15.7,231.0,?,Male
?,Biscoe,45.8,?,?,?,Female
?,Biscoe,?,16.8,230.0,?,Male
Gentoo,Biscoe,46.2,14.4,214.0,?,?
Gentoo,?,?,16.2,229.0,?,?
Gentoo,Biscoe,?,14.2,?,?,Female
Gentoo,Biscoe,50.7,?,223.0,5550.0,Male
Gentoo,Biscoe,?,15.0,?,?,?
?,?,46.4,15.6,221.0,?,Male
?,Biscoe,?,15.6,?,?,?
Gentoo,?,?,14.8,217.0,5200.0,Female
Gentoo,?,46.4,15.0,216.0,4700.0,Female
?,Biscoe,?,16.0,230.0,?,?
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female
Gentoo,Biscoe,?,16.3,220.0,6000.0,Male
Gentoo,Biscoe,?,13.8,215.0,?,Female
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male
Gentoo,?,?,?,212.0,4625.0,Female
Gentoo,?,?,15.6,?,5450.0,Male
?,?,47.4,?,?,4725.0,?
Gentoo,Biscoe,?,15.9,224.0,?,?
?,Biscoe,44.9,13.8,?,?,Female
?,?,50.8,?,228.0,5600.0,Male
Gentoo,?,43.4,14.4,218.0,4600.0,?
?,Biscoe,51.3,14.2,218.0,5300.0,Male
?,Biscoe,?,14.0,212.0,4875.0,?
Gentoo,?,?,17.0,230.0,5550.0,Male
Gentoo,Biscoe,?,?,218.0,?,Female
?,Biscoe,52.2,17.1,228.0,5400.0,Male
?,Biscoe,45.5,?,?,4750.0,?
Gentoo,?,49.5,16.1,224.0,?,Male
Gentoo,Biscoe,44.5,14.7,?,?,?
Gentoo,?,50.8,15.7,226.0,?,Male
Gentoo,Biscoe,?,15.8,216.0,?,?
?,Biscoe,?,?,?,?,Female
Gentoo,Biscoe,48.4,?,?,?,Female
?,?,51.1,16.5,225.0,?,Male
Gentoo,Biscoe,48.5,15.0,219.0,?,Female
Gentoo,?,55.9,17.0,228.0,5600.0,?
?,Biscoe,47.2,15.5,215.0,4975.0,?
Gentoo,?,49.1,?,?,5500.0,Male
Gentoo,Biscoe,47.3,?,?,4725.0,?
?,?,46.8,16.1,215.0,5500.0,?
?,Biscoe,41.7,14.7,210.0,4700.0,Female
Gentoo,Biscoe,?,?,219.0,?,Male
?,Biscoe,43.3,14.0,208.0,4575.0,Female
?,Biscoe,?,15.1,209.0,?,Male
Gentoo,?,50.5,15.2,216.0,?,Female
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male
Gentoo,Biscoe,?,15.2,213.0,4650.0,Female
Gentoo,Biscoe,51.5,16.3,?,5500.0,Male
Gentoo,Biscoe,?,?,217.0,4375.0,Female
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,?
Gentoo,?,44.5,?,217.0,?,?
?,?,48.8,16.2,222.0,?,?
Gentoo,?,?,13.7,?,4925.0,Female
Gentoo,Biscoe,?,?,?,?,?
Gentoo,?,46.8,14.3,215.0,?,?
?,Biscoe,?,?,?,5750.0,?
Gentoo,Biscoe,45.2,14.8,?,5200.0,Female
?,Biscoe,?,?,213.0,5400.0,Male
