species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male
Adelie,Dream,37.3,17.8,191.0,3555.0,Female
Adelie,Dream,41.3,18.3,194.0,3550.0,Male
Adelie,Dream,36.3,19.5,190.0,3800.0,Male
Adelie,Dream,36.9,18.6,189.0,3500.0,Female
Adelie,Dream,38.3,18.3,189.0,3950.0,Male
Adelie,Dream,41.42,18.8,192.0,4025.0,Female
Adelie,Dream,35.7,18.0,202.0,3550.0,Female
Adelie,Dream,41.1,18.1,205.0,4300.0,Male
Adelie,Dream,34.0,17.1,185.0,3400.0,Female
Adelie,Dream,39.6,18.1,186.0,3510.0,Male
Adelie,Dream,38.42,17.3,187.0,3300.0,Female
Chinstrap,Dream,40.8,17.53,208.0,3791.67,Female
Adelie,Dream,38.1,18.3,189.33,3700.0,Female
Adelie,Dream,40.3,18.5,196.0,4170.0,Male
Adelie,Dream,38.21,18.3,178.0,2900.0,Female
Adelie,Dream,42.16,18.5,192.0,4100.0,Male
Adelie,Biscoe,35.0,18.3,191.33,4020.0,Female
Adelie,Dream,41.0,20.0,203.0,4725.0,Male
Adelie,Biscoe,37.7,18.3,183.0,3450.0,Female
Adelie,Dream,37.8,18.3,190.0,3700.0,Male
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female
Adelie,Biscoe,38.77,18.9,184.0,3550.0,Male
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Male
Adelie,Biscoe,38.2,18.3,188.0,3535.0,Male
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female
Adelie,Biscoe,43.2,18.3,197.0,4775.0,Male
Adelie,Biscoe,38.1,18.3,198.0,3850.0,Male
Gentoo,Biscoe,45.6,14.42,191.0,4375.0,Female
Adelie,Dream,39.7,18.3,183.33,3200.0,Female
Adelie,Biscoe,42.2,19.5,192.0,4275.0,Male
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female
Adelie,Biscoe,40.59,18.3,196.0,4075.0,Male
Adelie,Dream,38.6,17.0,188.0,3460.0,Female
Adelie,Torgersen,39.42,18.3,199.0,3935.0,Male
Adelie,Torgersen,35.7,18.3,189.67,3350.0,Female
Adelie,Torgersen,37.72,18.6,189.0,3325.0,Male
Adelie,Torgersen,36.2,18.3,187.0,3330.0,Female
Adelie,Torgersen,38.0,19.8,198.0,3500.0,Male
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female
Adelie,Dream,41.4,18.5,202.0,3875.0,Male
Adelie,Torgersen,35.2,15.9,186.0,3310.0,Female
Adelie,Biscoe,40.48,18.3,199.0,4000.0,Male
Adelie,Torgersen,37.42,17.6,191.0,3720.0,Female
Adelie,Dream,41.5,18.3,196.67,4300.0,Male
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
Adelie,Biscoe,38.5,17.9,188.0,3325.0,Female
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male
Adelie,Dream,36.44,18.5,193.0,3410.0,Female
Adelie,Dream,37.5,18.3,199.0,3850.0,Male
Chinstrap,Dream,47.03,17.6,187.0,3425.0,Female
Adelie,Torgersen,41.1,17.5,190.0,3900.0,Male
Adelie,Torgersen,37.56,17.5,191.0,3720.0,Male
Adelie,Dream,40.2,18.3,200.0,3975.0,Male
Adelie,Dream,36.71,16.5,185.0,3400.0,Female
Adelie,Dream,41.22,17.9,197.67,4250.0,Male
Adelie,Dream,40.2,17.1,193.0,3400.0,Female
Adelie,Dream,40.6,18.3,187.0,3250.0,Male
Adelie,Dream,38.57,18.3,188.0,3050.0,Female
Adelie,Dream,37.93,17.0,195.67,3725.0,Male
Adelie,Dream,37.3,16.8,192.0,3000.0,Female
Adelie,Dream,39.0,18.7,185.0,3650.0,Male
Adelie,Dream,39.2,18.3,189.0,4250.0,Male
Adelie,Dream,36.6,18.3,184.0,3475.0,Female
Adelie,Dream,38.92,17.8,195.0,3855.0,Male
Adelie,Biscoe,37.8,18.1,191.0,3750.0,Male
Adelie,Dream,36.0,17.1,185.67,3700.0,Female
Adelie,Dream,39.11,18.5,201.0,3830.0,Male
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female
Chinstrap,Dream,50.0,19.5,196.0,3827.78,Male
Chinstrap,Dream,51.3,19.2,194.45,3650.0,Male
Chinstrap,Dream,45.4,18.7,192.27,3525.0,Female
Chinstrap,Dream,52.7,19.8,199.82,3969.44,Male
Chinstrap,Dream,48.47,17.8,198.0,3755.56,Female
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female
Adelie,Biscoe,38.19,18.2,197.0,3750.0,Male
Chinstrap,Dream,51.66,19.04,195.0,4150.0,Female
Chinstrap,Dream,51.3,18.87,198.0,3672.22,Male
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female
Chinstrap,Dream,48.83,20.3,194.0,3775.0,Male
Chinstrap,Dream,47.0,17.3,191.0,3494.44,Female
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male
Chinstrap,Dream,50.3,18.87,197.0,3300.0,Male
Chinstrap,Dream,58.0,19.1,181.0,3700.0,Male
Chinstrap,Dream,46.4,17.8,190.0,3450.0,Female
Chinstrap,Dream,51.07,18.2,195.0,4400.0,Female
Chinstrap,Dream,42.4,17.07,193.45,3600.0,Female
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male
Chinstrap,Dream,43.2,16.6,187.0,3405.56,Female
Chinstrap,Dream,50.6,18.99,193.0,3800.0,Male
Chinstrap,Dream,46.17,17.76,191.09,3300.0,Female
Chinstrap,Dream,51.28,19.0,197.0,4150.0,Male
Chinstrap,Dream,47.78,18.4,200.0,3400.0,Female
Adelie,Dream,49.5,19.0,200.0,4040.0,Male
Chinstrap,Dream,46.4,17.76,191.0,3700.0,Female
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male
Chinstrap,Dream,40.9,16.6,192.0,3200.0,Female
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male
Adelie,Dream,39.09,18.6,195.0,3855.0,Male
Gentoo,Biscoe,47.5,14.5,199.0,3900.0,Female
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female
Chinstrap,Dream,52.0,20.7,199.82,3891.67,Male
Chinstrap,Dream,46.9,17.6,192.0,2700.0,Female
Chinstrap,Dream,51.9,19.29,205.0,4500.0,Male
Chinstrap,Dream,50.3,19.5,202.09,3950.0,Male
Chinstrap,Dream,46.2,17.5,191.0,3452.78,Female
Chinstrap,Dream,48.55,19.1,196.0,3550.0,Male
Chinstrap,Dream,45.5,17.0,196.0,3800.0,Female
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female
Adelie,Dream,39.11,18.5,201.0,3830.0,Male
Chinstrap,Dream,50.1,18.44,190.0,3400.0,Female
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male
Chinstrap,Dream,51.5,18.23,187.0,3527.78,Male
Chinstrap,Dream,49.8,18.77,198.0,3777.78,Female
Chinstrap,Dream,45.95,16.4,199.0,3325.0,Female
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male
Chinstrap,Dream,45.7,17.3,193.0,3691.67,Female
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male
Chinstrap,Dream,42.5,17.3,192.0,3350.0,Female
Chinstrap,Dream,52.2,18.8,194.64,3450.0,Male
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female
Chinstrap,Dream,51.32,19.9,203.0,4050.0,Male
Chinstrap,Dream,50.2,18.8,202.0,3930.56,Male
Chinstrap,Dream,45.6,19.4,192.27,3525.0,Female
Chinstrap,Dream,50.3,19.5,206.0,3950.0,Male
Chinstrap,Dream,48.16,16.5,189.0,3650.0,Female
Adelie,Dream,37.64,18.3,188.67,3650.0,Female
Chinstrap,Dream,55.8,19.76,207.0,4000.0,Male
Chinstrap,Dream,43.5,17.51,191.18,3647.22,Female
Chinstrap,Dream,49.6,19.0,199.36,3716.67,Male
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male
Chinstrap,Dream,49.02,18.7,195.64,3797.22,Female
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female
Gentoo,Biscoe,50.26,16.3,221.86,5627.27,Male
Gentoo,Biscoe,48.7,14.51,210.0,4756.82,Female
Gentoo,Biscoe,50.0,15.2,218.0,5438.64,Male
Gentoo,Biscoe,47.6,15.02,215.0,5400.0,Female
Gentoo,Biscoe,46.5,13.5,215.0,4915.91,Female
Gentoo,Biscoe,45.4,14.3,209.43,4800.0,Female
Gentoo,Biscoe,46.7,15.3,216.14,5200.0,Male
Gentoo,Biscoe,46.8,15.4,215.14,5150.0,Male
Gentoo,Biscoe,49.32,16.1,216.0,5550.0,Male
Gentoo,Biscoe,46.46,13.7,212.29,4650.0,Female
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male
Gentoo,Biscoe,45.1,14.6,210.0,4200.0,Female
Gentoo,Biscoe,51.04,15.7,217.0,5850.0,Male
Adelie,Biscoe,42.0,13.5,191.0,4150.0,Female
Gentoo,Biscoe,49.26,15.2,221.0,6300.0,Male
Gentoo,Biscoe,46.2,14.32,209.0,4490.91,Female
Gentoo,Biscoe,48.16,15.1,222.0,5350.0,Male
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male
Gentoo,Biscoe,44.54,14.33,215.0,5000.0,Female
Gentoo,Biscoe,46.5,14.88,214.43,4400.0,Female
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male
Gentoo,Biscoe,45.26,14.68,216.0,4100.0,Female
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male
Gentoo,Biscoe,48.2,14.46,210.0,4600.0,Female
Gentoo,Biscoe,50.12,15.44,220.0,5550.0,Male
Gentoo,Biscoe,47.7,15.3,222.0,5250.0,Male
Gentoo,Biscoe,46.88,14.2,212.29,4700.0,Female
Gentoo,Biscoe,50.58,15.56,221.86,5627.27,Female
Gentoo,Biscoe,51.74,17.0,230.0,5577.27,Male
Gentoo,Biscoe,49.1,14.8,218.14,5420.45,Female
Gentoo,Biscoe,48.4,16.3,214.86,5181.82,Male
Gentoo,Biscoe,42.6,13.7,213.29,4809.09,Female
Gentoo,Biscoe,44.4,14.82,219.0,5250.0,Male
Gentoo,Biscoe,44.0,14.11,212.71,4350.0,Female
Gentoo,Biscoe,45.62,15.7,208.0,4443.18,Male
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female
Gentoo,Biscoe,49.6,16.0,219.43,5700.0,Male
Gentoo,Biscoe,45.3,14.3,210.0,4300.0,Female
Gentoo,Biscoe,50.88,15.9,222.0,5550.0,Male
Gentoo,Biscoe,43.6,13.9,217.0,4995.45,Female
Gentoo,Biscoe,45.5,14.3,210.0,4200.0,Female
Gentoo,Biscoe,50.5,15.9,220.43,5400.0,Male
Gentoo,Biscoe,44.9,13.3,215.0,5100.0,Female
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male
Gentoo,Biscoe,45.98,14.2,210.0,4850.0,Female
Gentoo,Biscoe,48.5,15.51,217.86,5300.0,Male
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female
Gentoo,Biscoe,45.08,15.0,225.0,5000.0,Male
Gentoo,Biscoe,46.5,14.52,213.71,4900.0,Female
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male
Gentoo,Biscoe,43.8,14.09,214.57,4961.36,Female
Gentoo,Biscoe,45.08,15.0,220.0,5000.0,Male
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female
Gentoo,Biscoe,50.4,15.3,222.14,5550.0,Male
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female
Gentoo,Biscoe,46.2,14.9,216.71,5300.0,Male
Gentoo,Biscoe,45.7,13.9,214.0,5054.55,Female
Gentoo,Biscoe,54.3,15.7,231.0,5540.91,Male
Gentoo,Biscoe,45.8,14.32,209.14,4502.27,Female
Gentoo,Biscoe,51.52,16.8,230.0,5577.27,Male
Gentoo,Biscoe,46.2,14.4,214.0,5029.55,Female
Gentoo,Biscoe,49.32,16.2,229.0,5577.27,Male
Gentoo,Biscoe,49.84,14.2,221.86,5627.27,Female
Gentoo,Biscoe,50.7,15.72,223.0,5550.0,Male
Gentoo,Biscoe,49.64,15.0,221.86,5627.27,Male
Gentoo,Biscoe,46.4,15.6,221.0,5518.18,Male
Gentoo,Biscoe,46.54,14.8,217.0,5200.0,Female
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female
Gentoo,Biscoe,49.32,16.0,230.0,5577.27,Male
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female
Gentoo,Biscoe,49.7,16.3,220.0,6000.0,Male
Gentoo,Biscoe,46.38,13.8,215.0,5202.27,Female
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male
Gentoo,Biscoe,45.76,14.16,212.0,4625.0,Female
Gentoo,Biscoe,49.64,15.6,219.43,5450.0,Male
Gentoo,Biscoe,50.88,15.9,224.0,5536.36,Male
Gentoo,Biscoe,44.9,13.8,214.71,5034.09,Female
Gentoo,Biscoe,50.8,16.47,228.0,5600.0,Male
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male
Gentoo,Biscoe,44.38,14.0,212.0,4875.0,Female
Gentoo,Biscoe,51.74,17.0,230.0,5550.0,Male
Gentoo,Biscoe,47.12,15.31,218.0,5275.0,Female
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male
Gentoo,Biscoe,45.5,14.3,209.57,4750.0,Female
Gentoo,Biscoe,49.5,16.1,224.0,5504.55,Male
Gentoo,Biscoe,44.5,14.7,216.29,5022.73,Female
Gentoo,Biscoe,50.8,15.7,226.0,5490.91,Male
Gentoo,Biscoe,46.04,15.8,216.0,5090.91,Male
Gentoo,Biscoe,48.4,15.39,214.86,5181.82,Female
Gentoo,Biscoe,51.1,16.5,225.0,5463.64,Male
Gentoo,Biscoe,48.5,15.0,219.0,5475.0,Female
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Male
Gentoo,Biscoe,49.1,15.4,220.57,5500.0,Male
Gentoo,Biscoe,47.3,14.46,212.14,4725.0,Female
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male
Adelie,Biscoe,41.7,14.7,210.0,4700.0,Female
Gentoo,Biscoe,49.56,15.37,219.0,5354.55,Male
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female
Gentoo,Biscoe,45.62,15.1,209.0,4461.36,Male
Gentoo,Biscoe,50.5,15.2,216.0,5181.82,Female
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male
Gentoo,Biscoe,47.22,15.2,213.0,4650.0,Female
Gentoo,Biscoe,51.5,16.3,221.29,5500.0,Male
Gentoo,Biscoe,44.88,14.48,217.0,4375.0,Female
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male
Gentoo,Biscoe,44.5,14.48,217.0,5022.73,Female
Gentoo,Biscoe,48.8,16.2,222.0,5559.09,Male
Gentoo,Biscoe,44.86,13.7,216.0,4925.0,Female
Gentoo,Biscoe,46.8,14.3,215.0,5034.09,Female
Gentoo,Biscoe,45.2,14.8,213.57,5200.0,Female
Gentoo,Biscoe,49.88,15.42,213.0,5400.0,Male
